"Id","UserId","SubscriptionTierId","StartDate","EndDate","IsActive","AutoRenew","PaymentMethod","PaymentReference","PaidAmount","Currency","LastPaymentDate","NextPaymentDate","CurrentDailyUsage","CurrentMonthlyUsage","LastUsageResetDate","MonthlyUsageResetDate","Status","CancellationReason","CancellationDate","IsTrialSubscription","TrialEndDate","CreatedDate","UpdatedDate","CreatedUserId","UpdatedUserId","IsSponsoredSubscription","SponsorId","SponsorshipCodeId","SponsorshipNotes","ReferralCredits","QueueStatus","QueuedDate","ActivatedDate","PreviousSponsorshipId","PaymentTransactionId"
98,113,4,2025-09-25 14:39:32.383 +0300,2025-10-25 14:39:32.383 +0300,false,true,CreditCard,txn_123456,299.99,TRY,2025-09-25 14:39:32.383 +0300,2025-10-25 14:39:32.383 +0300,6,6,2025-09-25 14:39:32.383 +0300,2025-09-25 14:39:32.383 +0300,Expired,,,false,,2025-09-25 14:39:32.383 +0300,2025-10-26 20:34:13.458 +0300,113,,false,,,,0,2,,,,
99,114,5,2025-09-27 16:24:54.448 +0300,2025-10-27 16:24:54.448 +0300,false,false,Trial,,0.00,TRY,,,1,2,2025-09-28 12:40:30.623 +0300,2025-09-27 16:24:54.448 +0300,Upgraded,Upgraded to paid subscription,2025-09-28 14:34:42.686 +0300,true,2025-10-27 16:24:54.448 +0300,2025-09-27 16:24:54.448 +0300,2025-09-28 14:34:42.686 +0300,114,114,false,,,,0,1,,,,
100,114,4,2025-09-28 14:34:42.695 +0300,2025-10-28 14:34:42.695 +0300,false,true,CreditCard,txn_123456,299.99,TRY,2025-09-28 14:34:42.695 +0300,2025-10-28 14:34:42.695 +0300,18,18,2025-10-01 09:24:40.063 +0300,2025-10-01 03:00:00.000 +0300,Expired,,,false,,2025-09-28 14:34:42.695 +0300,2025-11-01 15:00:25.952 +0300,114,,false,,,,0,2,,,,
101,115,5,2025-10-02 11:34:33.590 +0300,2025-11-01 11:34:33.590 +0300,false,false,Trial,,0.00,TRY,,,0,0,2025-10-02 11:34:33.590 +0300,2025-10-02 11:34:33.590 +0300,Expired,,,true,2025-11-01 11:34:33.590 +0300,2025-10-02 11:34:33.590 +0300,2025-11-01 15:00:25.952 +0300,115,,false,,,,0,2,,,,
102,116,5,2025-10-03 12:40:57.558 +0300,2025-11-02 12:40:57.558 +0300,false,false,Trial,,0.00,TRY,,,0,0,2025-10-15 21:39:35.302 +0300,2025-10-03 12:40:57.558 +0300,Expired,,,true,2025-11-02 12:40:57.558 +0300,2025-10-03 12:40:57.558 +0300,2025-11-16 15:58:30.473 +0300,116,,false,,,,0,2,,,,
103,117,5,2025-10-03 14:36:45.327 +0300,2025-11-02 14:36:45.327 +0300,false,false,Trial,,0.00,TRY,,,1,1,2025-10-03 14:36:45.327 +0300,2025-10-03 14:36:45.327 +0300,Expired,,,true,2025-11-02 14:36:45.327 +0300,2025-10-03 14:36:45.327 +0300,2025-11-16 15:58:30.473 +0300,117,,false,,,,0,2,,,,
104,119,5,2025-10-03 15:35:51.802 +0300,2025-11-02 15:35:51.802 +0300,false,false,Trial,,0.00,TRY,,,0,0,2025-10-03 15:35:51.802 +0300,2025-10-03 15:35:51.802 +0300,Expired,,,true,2025-11-02 15:35:51.802 +0300,2025-10-03 15:35:51.802 +0300,2025-11-16 15:58:30.473 +0300,119,,false,,,,0,2,,,,
105,122,5,2025-10-04 13:04:37.201 +0300,2025-11-03 13:04:37.201 +0300,false,false,Trial,,0.00,TRY,,,0,0,2025-10-04 13:04:37.201 +0300,2025-10-04 13:04:37.201 +0300,Expired,,,true,2025-11-03 13:04:37.201 +0300,2025-10-04 13:04:37.201 +0300,2025-11-16 15:58:30.473 +0300,122,,false,,,,0,2,,,,
106,124,5,2025-10-04 14:04:17.603 +0300,2025-11-03 14:04:17.603 +0300,false,false,Trial,,0.00,TRY,,,0,0,2025-10-04 14:04:17.603 +0300,2025-10-04 14:04:17.603 +0300,Expired,,,true,2025-11-03 14:04:17.603 +0300,2025-10-04 14:04:17.603 +0300,2025-11-16 15:58:30.473 +0300,124,,false,,,,0,2,,,,
107,125,5,2025-10-04 14:12:11.439 +0300,2025-11-03 14:12:11.439 +0300,false,false,Trial,,0.00,TRY,,,0,1,2025-10-15 20:22:22.186 +0300,2025-10-04 14:12:11.439 +0300,Expired,,,true,2025-11-03 14:12:11.439 +0300,2025-10-04 14:12:11.439 +0300,2025-11-16 15:58:30.473 +0300,125,,false,,,,0,2,,,,
108,126,5,2025-10-04 14:54:05.432 +0300,2025-11-03 14:54:05.432 +0300,false,false,Trial,,0.00,TRY,,,0,0,2025-10-04 14:54:05.432 +0300,2025-10-04 14:54:05.432 +0300,Expired,,,true,2025-11-03 14:54:05.432 +0300,2025-10-04 14:54:05.432 +0300,2025-11-16 15:58:30.473 +0300,126,,false,,,,0,2,,,,
109,127,5,2025-10-04 14:58:02.892 +0300,2025-11-03 14:58:02.892 +0300,false,false,Trial,,0.00,TRY,,,1,1,2025-10-04 14:58:02.892 +0300,2025-10-04 14:58:02.892 +0300,Expired,,,true,2025-11-03 14:58:02.892 +0300,2025-10-04 14:58:02.892 +0300,2025-11-16 15:58:30.473 +0300,127,,false,,,,20,2,,,,
110,128,5,2025-10-04 15:27:02.944 +0300,2025-11-03 15:27:02.944 +0300,false,false,Trial,,0.00,TRY,,,1,1,2025-10-04 15:27:02.944 +0300,2025-10-04 15:27:02.944 +0300,Expired,,,true,2025-11-03 15:27:02.944 +0300,2025-10-04 15:27:02.944 +0300,2025-11-16 15:58:30.473 +0300,128,,false,,,,0,2,,,,
